Model,Details,Scaler,Feature selection,No. features,Precision,Recall,F1-score,AUC
KNeighborsClassifier,"n_neighbors=3, weights=distance",StandardScaler,UFS(f_classif),227 (85%),0.153,0.077,0.102,0.53
KNeighborsClassifier,"n_neighbors=3, weights=distance",StandardScaler,UFS(f_classif),213 (80%),0.152,0.077,0.102,0.53
KNeighborsClassifier,"n_neighbors=3, weights=distance",StandardScaler,UFS(f_classif),133 (50%),0.144,0.075,0.099,0.529
KNeighborsClassifier,"n_neighbors=3, weights=distance",StandardScaler,UFS(f_classif),240 (90%),0.151,0.075,0.101,0.529
KNeighborsClassifier,"n_neighbors=3, weights=distance",MinMaxScaler,UFS(f_classif),213 (80%),0.141,0.075,0.098,0.528
KNeighborsClassifier,"n_neighbors=3, weights=distance",StandardScaler,UFS(f_classif),187 (70%),0.149,0.074,0.099,0.528
KNeighborsClassifier,"n_neighbors=3, weights=distance",RobustScaler,UFS(f_classif),160 (60%),0.143,0.074,0.098,0.528
KNeighborsClassifier,"n_neighbors=3, weights=distance",MinMaxScaler,UFS(f_classif),160 (60%),0.14,0.074,0.097,0.528
KNeighborsClassifier,"n_neighbors=3, weights=distance",StandardScaler,UFS(f_classif),160 (60%),0.143,0.073,0.097,0.528
KNeighborsClassifier,"n_neighbors=3, weights=distance",RobustScaler,UFS(f_classif),187 (70%),0.142,0.074,0.098,0.528
KNeighborsClassifier,"n_neighbors=3, weights=distance",MinMaxScaler,UFS(f_classif),187 (70%),0.141,0.075,0.098,0.528
KNeighborsClassifier,"n_neighbors=3, weights=distance",RobustScaler,UFS(f_classif),133 (50%),0.149,0.074,0.099,0.528
KNeighborsClassifier,"n_neighbors=3, weights=distance",StandardScaler,-,267,0.149,0.074,0.099,0.528
KNeighborsClassifier,"n_neighbors=3, weights=distance",MinMaxScaler,UFS(f_classif),227 (85%),0.141,0.075,0.098,0.528
KNeighborsClassifier,"n_neighbors=3, weights=distance",MinMaxScaler,UFS(f_classif),240 (90%),0.142,0.075,0.098,0.528
KNeighborsClassifier,"n_neighbors=3, weights=distance",MinMaxScaler,-,267,0.141,0.075,0.098,0.528
KNeighborsClassifier,"n_neighbors=3, weights=distance",RobustScaler,UFS(f_classif),240 (90%),0.139,0.072,0.095,0.527
KNeighborsClassifier,"n_neighbors=3, weights=distance",MinMaxScaler,UFS(f_classif),133 (50%),0.136,0.074,0.096,0.527
KNeighborsClassifier,"n_neighbors=3, weights=distance",RobustScaler,-,267,0.136,0.071,0.093,0.526
KNeighborsClassifier,"n_neighbors=3, weights=distance",RobustScaler,UFS(f_classif),213 (80%),0.131,0.068,0.089,0.525
KNeighborsClassifier,"n_neighbors=3, weights=distance",RobustScaler,UFS(f_classif),227 (85%),0.134,0.069,0.091,0.525
KNeighborsClassifier,"n_neighbors=3, weights=distance",-,-,267,0.127,0.04,0.061,0.514
