Model,Details,Scaler,Feature selection,No. features,Precision,Recall,F1-score,AUC
LinearSVC,"C=10, penalty=l2",StandardScaler,UFS(f_classif),187 (70%),0.091,0.757,0.162,0.723
LinearSVC,"C=10, penalty=l2",MinMaxScaler,UFS(f_classif),187 (70%),0.091,0.756,0.162,0.722
LinearSVC,"C=10, penalty=l2",MinMaxScaler,UFS(f_classif),240 (90%),0.09,0.756,0.161,0.722
LinearSVC,"C=10, penalty=l2",StandardScaler,UFS(f_classif),227 (85%),0.091,0.757,0.162,0.722
LinearSVC,"C=10, penalty=l2",MinMaxScaler,UFS(f_classif),227 (85%),0.09,0.756,0.162,0.722
LinearSVC,"C=10, penalty=l2",StandardScaler,UFS(f_classif),213 (80%),0.091,0.757,0.162,0.722
LinearSVC,"C=10, penalty=l2",StandardScaler,-,267,0.091,0.755,0.162,0.722
LinearSVC,"C=10, penalty=l2",StandardScaler,UFS(f_classif),160 (60%),0.091,0.754,0.162,0.722
LinearSVC,"C=10, penalty=l2",MinMaxScaler,UFS(f_classif),213 (80%),0.09,0.756,0.161,0.721
LinearSVC,"C=10, penalty=l2",MinMaxScaler,-,267,0.09,0.755,0.161,0.721
LinearSVC,"C=10, penalty=l2",StandardScaler,UFS(f_classif),240 (90%),0.091,0.755,0.162,0.721
LinearSVC,"C=10, penalty=l2",MinMaxScaler,UFS(f_classif),160 (60%),0.09,0.75,0.161,0.72
LinearSVC,"C=10, penalty=l2",StandardScaler,UFS(f_classif),133 (50%),0.09,0.749,0.161,0.719
LinearSVC,"C=10, penalty=l2",MinMaxScaler,UFS(f_classif),133 (50%),0.09,0.747,0.16,0.718
LinearSVC,"C=10, penalty=l2",RobustScaler,UFS(f_classif),133 (50%),0.083,0.791,0.15,0.716
LinearSVC,"C=10, penalty=l2",RobustScaler,UFS(f_classif),240 (90%),0.059,0.831,0.111,0.644
LinearSVC,"C=10, penalty=l2",RobustScaler,UFS(f_classif),213 (80%),0.059,0.83,0.11,0.641
LinearSVC,"C=10, penalty=l2",RobustScaler,UFS(f_classif),227 (85%),0.058,0.835,0.109,0.64
LinearSVC,"C=10, penalty=l2",RobustScaler,-,267,0.058,0.845,0.108,0.639
LinearSVC,"C=10, penalty=l2",RobustScaler,UFS(f_classif),160 (60%),0.057,0.849,0.107,0.637
LinearSVC,"C=10, penalty=l2",RobustScaler,UFS(f_classif),187 (70%),0.057,0.84,0.107,0.635
LinearSVC,"C=10, penalty=l2",-,-,267,0.06,0.087,0.071,0.515
