,Model,Details,Scaler,Feature selection,No. features,RMSE,R-squared (training),R-squared (test)
0,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=2",-,Remove high corr,42,136165.449,0.956,0.879
1,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=2",RobustScaler,-,47,136165.449,0.956,0.879
2,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=2",MinMaxScaler,-,47,136165.449,0.956,0.879
3,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=2",StandardScaler,-,47,136165.449,0.956,0.879
4,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=2",-,-,47,136165.449,0.956,0.879
5,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15, max_leaf_nodes=15",StandardScaler,Remove high corr,42,137770.038,0.955,0.876
6,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15, max_leaf_nodes=15",MinMaxScaler,Remove high corr,42,137770.038,0.955,0.876
7,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15, max_leaf_nodes=15",RobustScaler,Remove high corr,42,137770.038,0.955,0.876
8,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=2",StandardScaler,UFS (f-regression),40,138273.838,0.957,0.876
9,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=2",RobustScaler,UFS (f-regression),40,138273.838,0.957,0.876
10,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=2",MinMaxScaler,UFS (f-regression),40,138319.396,0.957,0.875
11,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=2",MinMaxScaler,Remove high corr,42,138593.637,0.964,0.875
12,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=2",StandardScaler,Remove high corr,42,138593.637,0.964,0.875
13,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=2",RobustScaler,Remove high corr,42,138593.637,0.964,0.875
14,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15",-,-,47,139738.101,0.953,0.873
15,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15",StandardScaler,-,47,139738.101,0.953,0.873
16,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15",MinMaxScaler,-,47,139738.101,0.953,0.873
17,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15",RobustScaler,-,47,139738.101,0.953,0.873
