,Model,Details,Scaler,Feature selection,No. features,RMSE,R-squared (training),R-squared (test)
0,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=31",MinMaxScaler,UFS (f-regression),40,133891.586,0.978,0.883
1,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=31",RobustScaler,-,47,136366.99,0.98,0.879
2,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=31",-,Remove high corr,42,136366.99,0.98,0.879
3,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=10",MinMaxScaler,-,47,136584.477,0.968,0.879
4,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=10",MinMaxScaler,Remove high corr,42,136629.913,0.967,0.879
5,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=31",RobustScaler,UFS (f-regression),40,137424.087,0.978,0.877
6,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=10",RobustScaler,-,47,137842.255,0.967,0.876
7,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=10",-,Remove high corr,42,137842.255,0.967,0.876
8,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=10",StandardScaler,UFS (f-regression),40,137932.464,0.965,0.876
9,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=10",-,-,47,138053.43,0.968,0.876
10,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=10",StandardScaler,-,47,138142.75,0.967,0.876
11,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=31",StandardScaler,UFS (f-regression),40,138264.55,0.978,0.876
12,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=31",-,-,47,138691.478,0.98,0.875
13,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=31",MinMaxScaler,-,47,138819.321,0.98,0.875
14,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=10",RobustScaler,UFS (f-regression),40,138972.31,0.965,0.874
15,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=31",StandardScaler,UFS (f-regression),35,139027.482,0.975,0.874
16,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=10",StandardScaler,Remove high corr,42,139069.799,0.966,0.874
17,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=31",RobustScaler,Remove high corr,42,139531.811,0.98,0.873
18,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=31",MinMaxScaler,Remove high corr,42,139912.457,0.98,0.873
19,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=31",StandardScaler,-,47,139999.901,0.981,0.872
20,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=10",MinMaxScaler,UFS (f-regression),40,140049.782,0.965,0.872
