,Model,Details,Scaler,Feature selection,No. features,RMSE,R-squared (training),R-squared (test)
48,RandomForestRegressor,"n_estimators=100, max_depth=30, min_samples_split=5, min_samples_leaf=5",StandardScaler,-,47,147196.218,0.945,0.859
47,RandomForestRegressor,"n_estimators=100, max_depth=30, min_samples_split=5, min_samples_leaf=5",-,-,47,147232.675,0.945,0.859
51,RandomForestRegressor,"n_estimators=100, max_depth=30, min_samples_split=5, min_samples_leaf=5",-,Remove high corr,42,147234.418,0.945,0.859
50,RandomForestRegressor,"n_estimators=100, max_depth=30, min_samples_split=5, min_samples_leaf=5",RobustScaler,-,47,147234.418,0.945,0.859
49,RandomForestRegressor,"n_estimators=100, max_depth=30, min_samples_split=5, min_samples_leaf=5",MinMaxScaler,-,47,147253.101,0.945,0.859
88,RandomForestRegressor,"n_estimators=100, max_depth=30, min_samples_split=5, min_samples_leaf=5",StandardScaler,UFS (f-regression),40,147268.963,0.943,0.859
135,RandomForestRegressor,"n_estimators=150, max_depth=30, min_samples_split=5, min_samples_leaf=5",StandardScaler,UFS (f-regression),40,147277.781,0.944,0.859
90,RandomForestRegressor,"n_estimators=100, max_depth=30, min_samples_split=5, min_samples_leaf=5",RobustScaler,UFS (f-regression),40,147296.122,0.943,0.859
137,RandomForestRegressor,"n_estimators=150, max_depth=30, min_samples_split=5, min_samples_leaf=5",RobustScaler,UFS (f-regression),40,147304.928,0.944,0.859
89,RandomForestRegressor,"n_estimators=100, max_depth=30, min_samples_split=5, min_samples_leaf=5",MinMaxScaler,UFS (f-regression),40,147310.68,0.943,0.859
136,RandomForestRegressor,"n_estimators=150, max_depth=30, min_samples_split=5, min_samples_leaf=5",MinMaxScaler,UFS (f-regression),40,147314.728,0.944,0.859
95,RandomForestRegressor,"n_estimators=150, max_depth=30, min_samples_split=5, min_samples_leaf=5",StandardScaler,-,47,147365.258,0.945,0.859
97,RandomForestRegressor,"n_estimators=150, max_depth=30, min_samples_split=5, min_samples_leaf=5",RobustScaler,-,47,147393.092,0.945,0.859
98,RandomForestRegressor,"n_estimators=150, max_depth=30, min_samples_split=5, min_samples_leaf=5",-,Remove high corr,42,147393.092,0.945,0.859
94,RandomForestRegressor,"n_estimators=150, max_depth=30, min_samples_split=5, min_samples_leaf=5",-,-,47,147405.04,0.945,0.859
96,RandomForestRegressor,"n_estimators=150, max_depth=30, min_samples_split=5, min_samples_leaf=5",MinMaxScaler,-,47,147425.287,0.945,0.859
