,Model,Details,Scaler,Feature selection,No. features,RMSE,R-squared (training),R-squared (test)
0,GradientBoostingRegressor,"n_estimators=500, learning_rate=0.2, max_depth=3, min_samples_split=3",-,-,47,130681.418,0.96,0.889
1,GradientBoostingRegressor,"n_estimators=500, learning_rate=0.2, max_depth=3, min_samples_split=3",StandardScaler,-,47,130699.667,0.96,0.889
2,GradientBoostingRegressor,"n_estimators=500, learning_rate=0.2, max_depth=3, min_samples_split=3",MinMaxScaler,-,47,130722.344,0.96,0.889
3,GradientBoostingRegressor,"n_estimators=500, learning_rate=0.2, max_depth=3, min_samples_split=3",RobustScaler,-,47,130714.447,0.96,0.889
4,GradientBoostingRegressor,"n_estimators=500, learning_rate=0.2, max_depth=3, min_samples_split=3",-,Remove high corr,42,130714.447,0.96,0.889
5,GradientBoostingRegressor,"n_estimators=500, learning_rate=0.2, max_depth=3, min_samples_split=3",StandardScaler,Variance threshold,30,148555.857,0.945,0.856
6,GradientBoostingRegressor,"n_estimators=500, learning_rate=0.2, max_depth=3, min_samples_split=3",MinMaxScaler,Variance threshold,30,148581.602,0.945,0.856
7,GradientBoostingRegressor,"n_estimators=500, learning_rate=0.2, max_depth=3, min_samples_split=3",RobustScaler,Variance threshold,30,148556.096,0.945,0.856
8,GradientBoostingRegressor,"n_estimators=500, learning_rate=0.2, max_depth=3, min_samples_split=3",StandardScaler,Variance threshold,26,151562.826,0.945,0.85
9,GradientBoostingRegressor,"n_estimators=500, learning_rate=0.2, max_depth=3, min_samples_split=3",MinMaxScaler,Variance threshold,26,151372.249,0.945,0.851
10,GradientBoostingRegressor,"n_estimators=500, learning_rate=0.2, max_depth=3, min_samples_split=3",RobustScaler,Variance threshold,26,151369.843,0.945,0.851
11,GradientBoostingRegressor,"n_estimators=500, learning_rate=0.2, max_depth=3, min_samples_split=3",StandardScaler,Variance threshold,24,147851.365,0.945,0.858
12,GradientBoostingRegressor,"n_estimators=500, learning_rate=0.2, max_depth=3, min_samples_split=3",MinMaxScaler,Variance threshold,24,147835.081,0.945,0.858
13,GradientBoostingRegressor,"n_estimators=500, learning_rate=0.2, max_depth=3, min_samples_split=3",RobustScaler,Variance threshold,24,147815.361,0.945,0.858
14,GradientBoostingRegressor,"n_estimators=500, learning_rate=0.2, max_depth=3, min_samples_split=3",StandardScaler,Variance threshold,19,154258.773,0.945,0.845
15,GradientBoostingRegressor,"n_estimators=500, learning_rate=0.2, max_depth=3, min_samples_split=3",MinMaxScaler,Variance threshold,19,153663.632,0.945,0.846
16,GradientBoostingRegressor,"n_estimators=500, learning_rate=0.2, max_depth=3, min_samples_split=3",RobustScaler,Variance threshold,19,153655.947,0.945,0.846
17,GradientBoostingRegressor,"n_estimators=500, learning_rate=0.2, max_depth=3, min_samples_split=3",StandardScaler,Variance threshold,18,154030.922,0.943,0.846
18,GradientBoostingRegressor,"n_estimators=500, learning_rate=0.2, max_depth=3, min_samples_split=3",MinMaxScaler,Variance threshold,18,153920.675,0.943,0.846
